date,mean_temp,mean_sal,mean_do,mean_turb
2012-06-23,27.96875,35.08645833333333,5.358333333333333,16.21875
2012-06-24,27.48125,35.16875,5.120833333333334,19.010416666666668
2012-06-25,26.671875,33.291666666666664,5.633333333333334,20.302083333333332
2012-06-26,26.540625,32.510416666666664,5.554166666666666,20.78125
2012-06-27,26.086458333333333,32.52708333333333,5.996875,18.385416666666668
2012-06-28,26.025,29.573958333333334,5.525,18.53125
2012-06-29,26.641666666666666,28.772916666666667,5.114583333333333,20.71875
2012-06-30,27.12708333333333,29.6875,4.8625,32.052083333333336
2012-07-01,27.708333333333332,30.867708333333333,4.926041666666666,24.46875
2012-07-02,28.11145833333333,31.59375,5.09375,19.677083333333332
2012-07-03,28.640625,31.636458333333334,4.957291666666666,18.666666666666668
2012-07-04,28.848958333333332,32.34583333333333,4.854166666666667,19.010416666666668
2012-07-05,28.961458333333333,32.70729166666667,4.751041666666667,19.104166666666668
2012-07-06,29.151041666666668,32.8875,4.716666666666667,22.104166666666668
2012-07-07,29.373684210526317,33.247368421052634,4.831578947368421,25.957894736842107
2012-07-08,29.765625,33.27395833333333,4.921875,19.614583333333332
2012-07-09,30.11145833333333,33.35729166666667,4.969791666666667,14.895833333333334
2012-07-10,30.177083333333332,33.365625,4.815625,14.697916666666666
2012-07-11,30.026315789473685,33.52947368421053,4.731578947368421,20.810526315789474
2012-07-12,29.722916666666666,34.088541666666664,4.820833333333334,14.9375
2012-07-13,29.745263157894737,34.23368421052631,4.904210526315789,15.094736842105263
2012-07-14,29.683333333333334,34.29375,4.898958333333334,20.604166666666668
2012-07-15,29.664583333333333,34.411458333333336,4.770833333333333,17.5
2012-07-16,29.634375,34.96666666666667,4.798958333333333,15.75
2012-07-17,29.629166666666666,35.385416666666664,4.698958333333334,16.333333333333332
2012-07-18,29.348958333333332,35.44479166666667,4.383333333333334,18.020833333333332
2012-07-19,28.888541666666665,35.53333333333333,4.154166666666667,26.677083333333332
2012-07-20,28.423958333333335,35.6875,4.332291666666666,32.354166666666664
2012-07-21,28.532291666666666,36.079166666666666,5.004166666666666,31.21875
2012-07-22,28.5375,36.359375,5.567708333333333,18.916666666666668
2012-07-23,28.370833333333334,36.53125,5.947916666666667,22.677083333333332
2012-07-24,28.41875,36.46458333333334,5.714583333333334,17.041666666666668
2012-07-25,28.594791666666666,36.313541666666666,5.636458333333334,16.21875
2012-07-26,28.34375,36.63854166666667,5.602083333333334,15.791666666666666
2012-07-27,28.492708333333333,36.963541666666664,5.358333333333333,15.0625
2012-07-28,28.48645833333333,36.89791666666667,5.205208333333333,28.447916666666668
2012-07-29,28.342708333333334,36.875,5.114583333333333,36.708333333333336
2012-07-30,27.381052631578946,36.8421052631579,4.864210526315789,23.410526315789475
2012-07-31,26.523958333333333,36.63333333333333,4.909375,18.1875
2012-08-01,26.350526315789473,36.067368421052635,5.437894736842106,17.063157894736843
2012-08-02,26.85625,35.594791666666666,5.880208333333333,17.125
2012-08-03,27.336458333333333,35.530208333333334,5.988541666666666,19.333333333333332
2012-08-04,27.61875,35.5,6.013541666666667,18.083333333333332
2012-08-05,27.414583333333333,34.675,5.783333333333333,29.041666666666668
2012-08-06,27.690625,34.55416666666667,5.567708333333333,25.052083333333332
2012-08-07,27.873958333333334,34.51875,5.359375,22.083333333333332
2012-08-08,27.645833333333332,34.128125,4.959375,19.854166666666668
2012-08-09,27.496875,33.93125,4.825,17.645833333333332
2012-08-10,27.883157894736843,33.50526315789474,4.727368421052631,25.989473684210527
2012-08-11,27.934375,33.202083333333334,4.833333333333333,18.84375
2012-08-12,27.510416666666668,33.16979166666667,5.001041666666667,19.3125
2012-08-13,26.928125,32.89375,5.101041666666666,17.822916666666668
2012-08-14,26.49375,33.390625,5.020833333333333,15.239583333333334
2012-08-15,26.275,33.865625,4.898958333333334,18.3125
2012-08-16,25.8375,33.95625,4.791666666666667,16.645833333333332
2012-08-17,25.342708333333334,34.434375,4.963541666666667,17.479166666666668
2012-08-18,25.359375,34.66041666666666,5.239583333333333,17.135416666666668
2012-08-19,25.484375,31.407291666666666,5.461458333333334,16.979166666666668
2012-08-20,25.294791666666665,28.394791666666666,5.45625,18.020833333333332
2012-08-21,25.226041666666667,28.43125,5.397916666666666,20.135416666666668
2012-08-22,25.070833333333333,29.011458333333334,5.20625,16.052083333333332
2012-08-23,25.002083333333335,28.710416666666667,5.092708333333333,13.791666666666666
2012-08-24,25.040625,32.322916666666664,5.389583333333333,11.791666666666666
2012-08-25,25.783333333333335,34.661458333333336,5.56875,12.166666666666666
2012-08-26,26.098958333333332,34.54270833333334,5.728125,16.447916666666668
2012-08-27,26.058333333333334,33.83020833333333,5.377083333333333,18.3125
2012-08-28,26.164583333333333,32.81458333333333,5.155208333333333,23.739583333333332
2012-08-29,26.363541666666666,32.76875,5.019791666666666,26.96875
2012-08-30,26.75625,32.13645833333333,5.134375,21.635416666666668
2012-08-31,27.360416666666666,31.748958333333334,5.136458333333334,18.291666666666668
2012-09-01,28.283333333333335,31.77916666666667,5.201041666666667,19.114583333333332
2012-09-02,28.85,31.748958333333334,5.111458333333333,18.53125
2012-09-03,28.664583333333333,31.497916666666665,4.796875,21.09375
2012-09-04,28.470833333333335,31.765625,4.872916666666667,20.677083333333332
2012-09-05,28.445833333333333,31.998958333333334,4.863541666666666,25.885416666666668
2012-09-06,28.526041666666668,32.090625,4.801041666666666,19.989583333333332
2012-09-07,28.29375,31.76875,4.771875,16.479166666666668
2012-09-08,28.170833333333334,31.329166666666666,4.566666666666666,14.427083333333334
2012-09-09,27.7875,31.265625,4.566666666666666,25.020833333333332
2012-09-10,26.770833333333332,33.115625,5.305208333333334,21.9375
2012-09-11,26.592708333333334,33.15625,5.686458333333333,18.020833333333332
2012-09-12,26.621875,32.817708333333336,5.713541666666667,16.239583333333332
2012-09-13,26.615625,32.69479166666667,5.569791666666666,19.322916666666668
2012-09-14,26.909375,32.68020833333333,5.511458333333334,20.625
2012-09-15,27.215625,32.69583333333333,5.441666666666666,18.53125
2012-09-16,27.46875,32.88125,5.272916666666666,19.395833333333332
2012-09-17,27.708333333333332,33.130208333333336,5.264583333333333,20.854166666666668
2012-09-18,27.379166666666666,32.93020833333333,5.115625,23.208333333333332
2012-09-19,27.198958333333334,33.18541666666667,5.113541666666666,23.635416666666668
2012-09-20,27.132291666666667,33.795833333333334,5.257291666666666,15.395833333333334
